"gun_type","Killed","Injured"
"10mm",0,0.0833333333333333
"12 gauge",0.174496644295302,0.181208053691275
"16 gauge",0.25,0.25
"20 gauge",0.178571428571429,0.25
"22 LR",0.120938628158845,0.220216606498195
"223 Rem AR-15",0.202453987730061,0.263803680981595
"25 Auto",0.0353982300884956,0.0973451327433628
"30-06 Spr",0.5,0.2
"30-30 Win",0.125,0.625
"32 Auto",0.0980392156862745,0.0980392156862745
"357 Mag",0.120967741935484,0.17741935483871
"38 Spl",0.0794117647058823,0.15
"380 Auto",0.0763358778625954,0.180661577608142
"40 SW",0.111301369863014,0.178082191780822
"410 gauge",0.0952380952380952,0.476190476190476
"44 Mag",0.2,0.166666666666667
"45 Auto",0.1270207852194,0.15473441108545
"7.62 AK-47",0.245098039215686,0.352941176470588
"9mm",0.100217864923747,0.160493827160494
"Handgun",0.167873051224944,0.267817371937639
"Other",0.0521739130434783,0.0869565217391304
"Rifle",0.250554323725055,0.319290465631929
"Shotgun",0.210084033613445,0.312605042016807
"Unknown",0.285091414609487,0.575553964108181
